1 ; 10 ; 17.543859649122805
2 ; 10 ; 17.543859649122805
Ярик ; 4 ; 7.017543859649122
why ; 2 ; 3.508771929824561
Привет ; 2 ; 3.508771929824561
Что ; 2 ; 3.508771929824561
been ; 1 ; 1.7543859649122806
живем ; 1 ; 1.7543859649122806
for ; 1 ; 1.7543859649122806
several ; 1 ; 1.7543859649122806
Жеско ; 1 ; 1.7543859649122806
ты ; 1 ; 1.7543859649122806
we ; 1 ; 1.7543859649122806
А ; 1 ; 1.7543859649122806
dying ; 1 ; 1.7543859649122806
как ; 1 ; 1.7543859649122806
has ; 1 ; 1.7543859649122806
так ; 1 ; 1.7543859649122806
Нормально ; 1 ; 1.7543859649122806
waht ; 1 ; 1.7543859649122806
нового ; 1 ; 1.7543859649122806
goona ; 1 ; 1.7543859649122806
in ; 1 ; 1.7543859649122806
minutes ; 1 ; 1.7543859649122806
biba ; 1 ; 1.7543859649122806
them ; 1 ; 1.7543859649122806
Как ; 1 ; 1.7543859649122806
kill ; 1 ; 1.7543859649122806
Эй ; 1 ; 1.7543859649122806
дела ; 1 ; 1.7543859649122806
а ; 1 ; 1.7543859649122806
3 ; 1 ; 1.7543859649122806
жеско ; 1 ; 1.7543859649122806
